segment_start;segment_end;label;instrument
0.0;0.417959184;silence;
0.417959184;13.734603175;theme_01_01;ts,p,b,dr
13.734603175;27.295056689;theme_01_02;ts,p,b,dr
27.295056689;40.449160998;solo_01_01;s_ts,b_p,b_b,b_dr
40.449160998;53.568435374;solo_01_02;s_ts,b_p,b_b,b_dr
53.568435374;66.827029478;solo_01_03;s_ts,b_p,b_b,b_dr
66.827029478;80.050793651;solo_01_04;s_ts,b_p,b_b,b_dr
80.050793651;93.529977324;solo_01_05;s_ts,b_p,b_b,b_dr
93.529977324;106.730521542;solo_01_06;s_ts,b_p,b_b,b_dr
106.730521542;120.070385488;solo_01_07;s_ts,b_p,b_b,b_dr
120.070385488;133.46829932;solo_01_08;s_ts,b_p,b_b,b_dr
133.46829932;146.668843537;solo_01_09;s_ts,b_p,b_b,b_dr
146.668843537;159.89260771;solo_01_10;s_ts,b_p,b_b,b_dr
159.89260771;173.011882086;solo_01_11;s_ts,b_p,b_b,b_dr
173.011882086;186.061496599;solo_01_12;s_ts,b_p,b_b,b_dr
186.061496599;198.751201814;solo_02_01;s_p,b_b,b_dr
198.751201814;211.522176871;solo_02_02;s_p,b_b,b_dr
211.522176871;224.1538322;solo_02_03;s_p,b_b,b_dr
224.1538322;236.831927438;solo_02_04;s_p,b_b,b_dr
236.831927438;249.858321995;solo_03_01;s_ts,b_p,b_b,b_dr
249.858321995;263.128526077;theme_02_01;ts,p,b,dr
263.128526077;282.830657596;theme_02_02;ts,p,b,dr
282.830657596;287.0133333333333;silence;
