region_start;region_end;label;instrument
0.0;1.486077097;silence;
1.486077097;30.650340136;theme_01_01;ts,p,b,dr
30.650340136;59.257324263;solo_01_01;s_ts,b_p,b_b,b_dr
59.257324263;86.759183673;solo_01_02;s_ts,b_p,b_b,b_dr
86.759183673;114.057142857;solo_01_03;s_ts,b_p,b_b,b_dr
114.057142857;140.930612244;solo_01_04;s_ts,b_p,b_b,b_dr
140.930612244;168.946938775;solo_01_05;s_ts,b_b,b_dr
168.946938775;196.212244897;solo_01_06;s_ts,b_b,b_dr
196.212244897;223.151020408;solo_01_07;s_ts,b_b,b_dr
223.151020408;250.024489795;solo_01_08;s_ts,b_b,b_dr
250.024489795;276.995918367;solo_01_09;s_ts,b_b,b_dr
276.995918367;302.171428571;solo_01_10;s_ts,b_b,b_dr
302.171428571;328.424489795;solo_01_11;s_ts,b_b,b_dr
328.424489795;354.08979591800005;solo_01_12;s_ts,b_b,b_dr
354.08979591800005;380.048979591;solo_01_13;s_ts,b_b,b_dr
380.048979591;406.922448979;solo_01_14;s_ts,b_b,b_dr
406.922448979;432.979591836;solo_01_15;s_ts,b_b,b_dr
432.979591836;458.057142857;solo_01_16;s_ts,b_b,b_dr
458.057142857;484.897959183;solo_01_17;s_ts,b_b,b_dr
484.897959183;510.922448979;solo_01_18;s_ts,b_b,b_dr
510.922448979;536.3591836730001;solo_01_19;s_ts,b_b,b_dr
536.3591836730001;562.15510204;solo_01_20;s_ts,b_b,b_dr
562.15510204;587.330612244;solo_01_21;s_ts,b_b,b_dr
587.330612244;613.191836734;solo_01_22;s_ts,b_b,b_dr
613.191836734;638.595918367;solo_01_23;s_ts,b_b,b_dr
638.595918367;663.510204081;solo_01_24;s_ts,b_b,b_dr
663.510204081;689.7632653060001;solo_01_25;s_ts,b_b,b_dr
689.7632653060001;715.297959183;solo_01_26;s_ts,b_b,b_dr
715.297959183;740.506122448;solo_01_27;s_ts,b_b,b_dr
740.506122448;765.9102040810001;solo_01_28;s_ts,b_b,b_dr
765.9102040810001;791.346938775;solo_01_29;s_ts,b_b,b_dr
791.346938775;816.620408163;solo_01_30;s_ts,b_b,b_dr
816.620408163;841.828571428;solo_01_31;s_ts,b_b,b_dr
841.828571428;868.2448979589999;theme_02_01;ts,p,b,dr
868.2448979589999;885.0285714279999;theme_02_02;ts1,ts2,p,b,dr
885.0285714279999;896.6533333333333;silence;
