segment_start;segment_end;label;instrument
0.0;0.424489795;silence;
0.424489795;29.714285714000003;theme_01_01;ts,p,b,dr
29.714285714000003;56.285170068;solo_01_01;s_p,b_b,b_dr
56.285170068;84.706394557;solo_01_01;s_p,b_b,b_dr
84.706394557;113.034739229;solo_01_02;s_p,b_b,b_dr
113.034739229;141.920362811;solo_01_03;s_p,b_b,b_dr
141.920362811;170.062947845;solo_01_04;s_p,b_b,b_dr
170.062947845;199.41297052099998;solo_01_05;s_p,b_b,b_dr
199.41297052099998;228.112834467;solo_01_06;s_p,b_b,b_dr
228.112834467;255.326621315;solo_01_07;s_p,b_b,b_dr
255.326621315;281.704489795;solo_01_08;s_p,b_b,b_dr
281.704489795;308.26811791299997;solo_01_09;s_p,b_b,b_dr
308.26811791299997;337.896780045;solo_02_01;s_ts,b_p,b_b,b_dr
337.896780045;366.039365079;solo_02_02;s_ts,b_p,b_b,b_dr
366.039365079;394.181950113;solo_02_03;s_ts,b_p,b_b,b_dr
394.181950113;421.395736961;solo_02_04;s_ts,b_p,b_b,b_dr
421.395736961;449.073922902;solo_02_05;s_ts,b_p,b_b,b_dr
449.073922902;478.42394557800003;solo_02_06;s_ts,b_p,b_b,b_dr
478.42394557800003;508.14548752800005;solo_03_01;s_ts,s_dr
508.14548752800005;536.566712018;solo_03_02;s_ts,s_dr
536.566712018;563.594739229;solo_03_03;s_ts,s_dr
563.594739229;591.737324263;solo_03_04;s_ts,s_dr
591.737324263;620.8087074819999;solo_03_05;s_ts,s_dr
620.8087074819999;648.394013605;solo_03_06;s_ts,s_dr
648.394013605;688.8896145120001;theme_02_01;ts,p,b,dr
688.8896145120001;697.0266666666665;silence;
