segment_start;segment_end;label;instrument
0.0;0.261224489;silence;
0.261224489;117.028571428;theme_01_01;ts,p,b,dr
117.028571428;161.306122448;solo_01_01;s_ts,b_p,b_b,b_dr
161.306122448;206.236734693;solo_01_02;s_ts,b_p,b_b,b_dr
206.236734693;253.910204081;solo_01_03;s_ts,b_p,b_b,b_dr
253.910204081;299.493877551;solo_01_04;s_ts,b_p,b_b,b_dr
299.493877551;346.122448979;solo_01_05;s_ts,b_p,b_b,b_dr
346.122448979;392.751020408;solo_01_06;s_ts,b_p,b_b,b_dr
392.751020408;435.853061224;solo_01_07;s_ts,b_p,b_b,b_dr
435.853061224;475.03673469299997;outro;p,b,dr
475.03673469299997;483.4266666666667;silence;
