region_start;region_end;label;instrument
0.0;0.783673469;silence;
0.783673469;14.117732426;intro;p
14.117732426;63.344036281;theme_01_01;ts,p,b,dr
63.344036281;110.526984126;theme_01_02;ts,p,b,dr
110.526984126;134.304217687;solo_01_01;s_ts,b_p,b_b,b_dr
134.304217687;157.152653061;solo_01_02;s_ts,b_p,b_b,b_dr
157.152653061;179.815328798;solo_01_03;s_ts,b_p,b_b,b_dr
179.815328798;203.96408163200002;solo_01_04;s_ts,b_p,b_b,b_dr
203.96408163200002;227.741315192;solo_02_01;s_p,b_b,b_dr
227.741315192;250.218231292;solo_02_02;s_p,b_b,b_dr
250.218231292;273.252426303;solo_03_01;s_ts,b_p,b_b,b_dr
273.252426303;321.549931971;theme_02_01;ts,p,b,dr
321.549931971;324.0;silence;
