segment_start;segment_end;label;instrument
0.0;1.207437641;silence;
1.207437641;6.455147392;intro;b
6.455147392;24.055873015;theme_01_01;tp,ts,p,b,dr
24.055873015;41.703038548;solo_01_01;s_tp,b_p,b_b,b_dr
41.703038548;59.257324263;solo_01_02;s_tp,b_p,b_b,b_dr
59.257324263;76.811609977;solo_01_03;s_tp,b_p,b_b,b_dr
76.811609977;94.4123356;solo_01_04;s_tp,b_p,b_b,b_dr
94.4123356;111.873741496;solo_01_05;s_tp,b_p,b_b,b_dr
111.873741496;129.381587301;solo_01_06;s_tp,b_p,b_b,b_dr
129.381587301;146.982312925;solo_02_01;s_ts,b_p,b_b,b_dr
146.982312925;164.49015873;solo_02_02;s_ts,b_p,b_b,b_dr
164.49015873;181.858684807;solo_02_03;s_ts,b_p,b_b,b_dr
181.858684807;199.320090702;solo_02_04;s_ts,b_p,b_b,b_dr
199.320090702;216.68861678;solo_02_05;s_ts,b_p,b_b,b_dr
216.68861678;234.057142857;solo_02_06;s_ts,b_p,b_b,b_dr
234.057142857;251.611428571;solo_02_07;s_ts,b_p,b_b,b_dr
251.611428571;269.397913832;solo_03_01;s_p,b_b,b_dr
269.397913832;286.952199546;solo_03_02;s_p,b_b,b_dr
286.952199546;304.413605442;solo_03_03;s_p,b_b,b_dr
304.413605442;321.875011337;solo_03_04;s_p,b_b,b_dr
321.875011337;339.52217687;solo_03_05;s_p,b_b,b_dr
339.52217687;357.35510204;solo_03_06;s_p,b_b,b_dr
357.35510204;375.373786848;solo_03_07;s_p,b_b,b_dr
375.373786848;393.485351473;solo_04_01;s_b,b_p,b_dr
393.485351473;411.596916099;solo_04_02;s_b,b_p,b_dr
411.596916099;429.708480725;solo_04_03;s_b,b_p,b_dr
429.708480725;447.541405895;solo_04_04;s_b,b_p,b_dr
447.541405895;466.070929705;theme_02_01;tp,ts,p,b,dr
466.070929705;484.321814058;theme_02_02;tp,ts,p,b,dr
484.321814058;510.421043082;theme_02_03;tp,ts,p,b,dr
510.421043082;513.6666666666666;silence;
