segment_start;segment_end;label;instrument
0.0;0.208979591;silence;
0.208979591;20.967619047;theme_01_01;ts,g,p,b,dr
20.967619047;42.678276643;theme_01_02;ts,g,p,b,dr
42.678276643;63.715555555;solo_01_01;s_ts,b_p,b_b,b_dr
63.715555555;85.542312925;solo_01_02;s_ts,b_p,b_b,b_dr
85.542312925;106.742131519;solo_01_03;s_ts,b_p,b_b,b_dr
106.742131519;127.570430839;solo_01_04;s_ts,b_p,b_b,b_dr
127.570430839;148.932789115;solo_01_05;s_ts,b_p,b_b,b_dr
148.932789115;169.807528344;solo_01_06;s_ts,b_p,b_b,b_dr
169.807528344;191.634285714;solo_02_01;s_g,b_p,b_b,b_dr
191.634285714;210.860408163;solo_02_02;s_g,b_p,b_b,b_dr
210.860408163;232.87292517;solo_02_03;s_g,b_p,b_b,b_dr
232.87292517;253.886984126;theme_02_01;ts,g,p,b,dr
253.886984126;280.171972788;theme_02_02;ts,g,p,b,dr
280.171972788;284.6287528344671;silence;
