region_start;region_end;label;instrument
0.0;0.534058956;silence;
0.534058956;7.383945578;intro;ts,p,b,dr
7.383945578;27.213786848;theme_01_01;ts,p,b,dr
27.213786848;47.229387755;theme_01_02;ts,p,b,dr
47.229387755;67.15210884300001;theme_01_03;ts,p,b,dr
67.15210884300001;86.86585034;theme_01_04;ts,p,b,dr
86.86585034;106.765351473;solo_01_01;s_ts,b_p,b_b,b_dr
106.765351473;126.595192743;solo_01_02;s_ts,b_p,b_b,b_dr
126.595192743;146.332154195;solo_01_03;s_ts,b_p,b_b,b_dr
146.332154195;166.115555555;solo_02_01;s_p,b_b,b_dr
166.115555555;185.689977324;solo_02_02;s_p,b_b,b_dr
185.689977324;205.543038548;solo_02_03;s_p,b_b,b_dr
205.543038548;225.53541950099998;theme_02_01;ts,p,b,dr
225.53541950099998;244.622222222;theme_02_02;ts,p,b,dr
244.622222222;272.46294784500003;theme_02_03;ts,p,b,dr
272.46294784500003;279.614693877551;silence;
