segment_start;segment_end;label;instrument
0.0;0.261224489;silence;
0.261224489;43.885714285;theme_01_01;as,p,b,dr
43.885714285;87.902040816;solo_01_01;s_as,b_p,b_b,b_dr
87.902040816;132.963265306;solo_01_02;s_as,b_p,b_b,b_dr
132.963265306;178.41632653;solo_01_03;s_as,b_p,b_b,b_dr
178.41632653;224.0;solo_02_01;s_p,b_b,b_dr
224.0;269.714285714;solo_02_02;s_p,b_b,b_dr
269.714285714;315.689795918;solo_03_01;s_b,b_p,b_dr
315.689795918;367.673469387;theme_02_01;as,p,b,dr
367.673469387;371.1216326530612;silence;
