segment_start;segment_end;label;instrument
0.0;0.092879818;silence;
0.092879818;12.4923356;theme_01_01;as,p,b,dr
12.4923356;24.984671200999998;theme_01_02;as,p,b,dr
24.984671200999998;37.244807256;solo_01_01;s_as,b_p,b_b,b_dr
37.244807256;49.969342403;solo_01_02;s_as,b_p,b_b,b_dr
49.969342403;62.322358276;solo_01_03;s_as,b_p,b_b,b_dr
62.322358276;74.814693877;solo_01_04;s_as,b_p,b_b,b_dr
74.814693877;87.539229024;solo_01_05;s_as,b_p,b_b,b_dr
87.539229024;100.4030839;solo_01_06;s_as,b_p,b_b,b_dr
100.4030839;113.12761904700001;solo_02_01;s_p,b_b,b_dr
113.12761904700001;126.03791383100001;theme_02_01;as,p,b,dr
126.03791383100001;128.44;silence;
