segment_start;segment_end;label;instrument
0.0;0.975238095;silence;
0.975238095;37.755646258;intro;p,b,dr
37.755646258;74.118095238;theme_01_01;tp,ts,p,b,dr
74.118095238;110.712743764;theme_01_02;tp,ts,p,b,dr
110.712743764;147.26095238;solo_01_01;s_tp,b_p,b_b,b_dr
147.26095238;183.948480725;solo_01_02;s_tp,b_p,b_b,b_dr
183.948480725;221.053968253;solo_01_03;s_tp,b_p,b_b,b_dr
221.053968253;258.391655328;solo_02_01;s_ts,b_p,b_b,b_dr
258.391655328;294.800544217;solo_02_02;s_ts,b_p,b_b,b_dr
294.800544217;333.48498866200003;solo_02_03;s_ts,b_p,b_b,b_dr
333.48498866200003;371.75147392199995;solo_03_01;s_p,b_b,b_dr
371.75147392199995;409.83219954599997;solo_03_02;s_p,b_b,b_dr
409.83219954599997;448.005804988;solo_03_03;s_p,b_tp,b_ts,b_b,b_dr
448.005804988;486.45804988599997;solo_04_01;s_b,b_p,b_dr
486.45804988599997;524.863854875;solo_04_02;s_b,b_p,b_dr
524.863854875;561.690702947;theme_02_01;tp,ts,p,b,dr
561.690702947;599.492789115;theme_02_02;tp,ts,p,b,dr
599.492789115;611.288526076;outro;p,b,dr
611.288526076;618.1333333333333;silence;
