region_start;region_end;label;instrument
0.0;0.371519274;silence;
0.371519274;28.049705215;intro;p,b,dr
28.049705215;83.22031746;theme_01_01;tp,ts,p,b,dr
83.22031746;138.576689342;solo_01_01;s_tp,b_p,b_b,b_dr
138.576689342;194.118820861;solo_01_02;s_tp,b_p,b_b,b_dr
194.118820861;249.846712018;solo_02_01;s_ts,b_p,b_b,b_dr
249.846712018;305.760362811;solo_02_02;s_ts,b_p,b_b,b_dr
305.760362811;362.045532879;solo_03_01;s_p,b_b,b_dr
362.045532879;418.423582766;solo_03_02;s_p,b_b,b_dr
418.423582766;473.77995464800006;solo_04_01;s_tp,b_p,b_b,b_dr
473.77995464800006;528.9505668930001;solo_04_02;s_tp,b_p,b_b,b_dr
528.9505668930001;584.678458049;theme_02_01;tp,ts,p,b,dr
584.678458049;605.947936507;outro;tp,ts,p,b,dr
605.947936507;613.4;silence;
