segment_start;segment_end;label;instrument
0.0;0.092879818;silence;
0.092879818;19.78340136;theme_01_01;ts,p,b,dr
19.78340136;38.823764172;solo_01_01;s_ts,b_p,b_b,b_dr
38.823764172;57.678367346;solo_01_02;s_ts,b_p,b_b,b_dr
57.678367346;76.62585034;solo_01_03;s_ts,b_p,b_b,b_dr
76.62585034;95.387573696;solo_02_01;s_tb,b_p,b_b,b_dr
95.387573696;114.24217687;solo_02_02;s_tb,b_p,b_b,b_dr
114.24217687;132.911020408;solo_03_01;s_p,b_b,b_dr
132.911020408;151.765623582;solo_03_02;s_p,s_ts,s_tb
151.765623582;175.17133786699998;theme_02_01;ts,tb,p,b,dr
175.17133786699998;180.09333333333333;silence;
