segment_start;segment_end;label;instrument
0.0;0.278639455;silence;
0.278639455;19.690521541;intro;tp,dr
19.690521541;35.758730158;theme_01_01;tp,ts,as,g,p,b,dr
35.758730158;50.619501133;theme_01_02;tp,ts,as,g,p,b,dr
50.619501133;66.68770975;solo_01_01;s_tp,b_ts,b_as,b_g,b_p,b_b,b_dr
66.68770975;83.127437641;solo_02_01;s_vib,b_ts,b_as,b_g,b_p,b_b,b_dr
83.127437641;98.917006802;solo_02_02;s_vib,b_g,b_p,b_b,b_dr
98.917006802;114.70657596299999;solo_03_01;s_bcl,b_g,b_p,b_b,b_dr
114.70657596299999;129.93886621299998;solo_03_02;s_bcl,b_g,b_p,b_b,b_dr
129.93886621299998;145.542675736;solo_04_01;s_ts,b_g,b_p,b_b,b_dr
145.542675736;161.982403628;solo_05_01;s_as,b_g,b_p,b_b,b_dr
161.982403628;177.58621315099998;theme_02_01;tp,ts,as,g,p,vib,b,dr
177.58621315099998;193.65442176699997;theme_02_02;tp,ts,as,g,p,vib,b,dr
193.65442176699997;196.7733333333333;silence;
