segment_start;segment_end;label;instrument
0.0;0.424489795;silence;
0.424489795;20.01632653;intro;bjo
20.01632653;39.771428571;theme_01_01;cor,cl,tb,bjo,p
39.771428571;59.722448979;theme_01_02;cor,cl,tb,bjo,p
59.722448979;78.236734693;solo_01_01;s_p
78.236734693;97.404081632;solo_02_01;s_tb,b_bjo,b_p
97.404081632;116.865306122;solo_03_01;s_cl,b_bjo,b_p
116.865306122;136.55510204;solo_04_01;s_cor,b_bjo,b_p
136.55510204;159.34693877400002;theme_02_01;cor,cl,tb,bjo,p
159.34693877400002;164.82666666666665;silence;
