region_start;region_end;label;instrument
0.0;0.626938775;silence;
0.626938775;3.065034013;intro;cor,tb,cl,p,bjo
3.065034013;22.685895691;theme_01_01;cor,tb,cl,p,bjo
22.685895691;42.399637188;theme_01_02;cor,tb,cl,p,bjo
42.399637188;62.484897958999994;solo_01_01;s_cor,b_cl,b_tb,b_p,b_bjo
62.484897958999994;82.593378684;solo_02_01;s_cl,b_bjo
82.593378684;101.424761904;solo_03_01;s_p
101.424761904;120.790204081;theme_02_01;cor,tb,cl,p,bjo
120.790204081;142.61696145;theme_02_02;cor,tb,cl,p,bjo
142.61696145;147.89333333333337;silence;
