segment_start;segment_end;label;instrument
0.0;0.278639455;silence;
0.278639455;36.501768707;theme_01_01;ts,p,g,b,dr
36.501768707;75.093333333;solo_01_01;s_ts,b_b,b_dr
75.093333333;114.056417233;solo_01_02;s_ts,b_b,b_dr
114.056417233;152.415782312;solo_01_03;s_ts,b_b,b_dr
152.415782312;190.821587301;solo_01_04;s_ts,b_b,b_dr
190.821587301;228.995192743;solo_02_01;s_g,b_b,b_dr
228.995192743;266.565079365;solo_02_02;s_g,b_b,b_dr
266.565079365;304.367165532;solo_03_01;s_p,b_b,b_dr
304.367165532;341.844172335;solo_03_02;s_p,b_b,b_dr
341.844172335;378.717460317;solo_03_03;s_p,b_b,b_dr
378.717460317;415.49786848;theme_02_01;ts,g,p,b,dr
415.49786848;419.2133333333333;silence;
