segment_start;segment_end;label;instrument
0.0;0.557278911;silence;
0.557278911;38.91664399;theme_01_01;ts,dr
38.91664399;76.904489795;solo_01_01;s_ts,b_dr
76.904489795;114.427936507;solo_01_02;s_ts,b_dr
114.427936507;151.486984126;solo_01_03;s_ts,b_dr
151.486984126;188.638911564;solo_01_04;s_ts,b_dr
188.638911564;225.697959183;solo_01_05;s_ts,b_dr
225.697959183;262.757006802;solo_01_06;s_ts,b_dr
262.757006802;300.094693877;solo_01_07;s_ts,b_dr
300.094693877;332.045351473;solo_02_01;s_ts,s_dr
332.045351473;375.14158729999997;theme_02_01;ts,dr
375.14158729999997;376.4767346938776;silence;
