region_start;region_end;label;instrument
0.0;0.522448979;silence;
0.522448979;6.4;intro;p
6.4;54.204081632;theme_01_01;ts,p,b,dr
54.204081632;96.0;solo_01_01;s_ts,b_b,b_dr
96.0;138.971428571;solo_01_01;s_ts,b_p,b_b,b_dr
138.971428571;181.420408163;solo_02_01;s_p,b_b,b_dr
181.420408163;222.95510204;solo_02_02;s_p,b_b,b_dr
222.95510204;263.967346938;solo_03_01;s_b,b_p,b_dr
263.967346938;304.587755102;solo_03_02;s_b,b_p,b_dr
304.587755102;345.208163265;solo_04_01;s_ts,s_p,s_dr,b_b
345.208163265;385.30612244800005;solo_04_02;s_ts,s_p,s_ts,b_b
385.30612244800005;432.19591836600006;theme_02_01;ts,p,b,dr
432.19591836600006;439.14448979591833;silence;
