segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;25.72770975;intro;dr,p,b
25.72770975;55.913650793;theme_01_01;ts,key,b,dr
55.913650793;85.356553287;theme_01_02;ts,key,g,b,dr
85.356553287;97.70956916;theme_01_03;ts,key,b,dr
97.70956916;126.87383219899999;theme_01_04;ts,p,g,dr
126.87383219899999;163.654240362;solo_01_01;s_ts,b_key,b_b,b_dr
163.654240362;200.8061678;solo_01_02;s_ts,b_key,b_b,b_dr
200.8061678;235.82185941;solo_01_03;s_ts,b_key,b_b,b_dr
235.82185941;270.83755102;solo_01_04;s_ts,b_key,b_b,b_dr
270.83755102;283.747845804;theme_02_01;ts,key,b,dr
283.747845804;316.905941043;solo_02_01;s_key,b_b,b_dr
316.905941043;349.135238095;solo_02_02;s_key,b_b,b_dr
349.135238095;378.020861678;theme_03_01;ts,key,g,p,b,dr
378.020861678;387.680362811;theme_03_02;ts,key,b,dr
387.680362811;441.36489795800003;outro;ts,key,g,b,dr
441.36489795800003;448.67918367346937;silence;
