segment_start;segment_end;label;instrument
0.0;0.092879818;silence;
0.092879818;20.604081632;intro;ts,p,b,dr
20.604081632;50.906122448000005;theme_01_01;tp,ts,p,b,dr
50.906122448000005;84.146938775;solo_01_01;s_tp,b_p,b_b,b_dr
84.146938775;112.391836734;solo_01_02;s_tp,b_p,b_b,b_dr
112.391836734;143.57551020399998;solo_01_03;s_tp,b_p,b_b,b_dr
143.57551020399998;173.126530612;solo_02_01;s_ts,b_p,b_b,b_dr
173.126530612;203.13469387700002;solo_02_02;s_ts,b_p,b_b,b_dr
203.13469387700002;235.297959183;solo_02_03;s_ts,b_p,b_b,b_dr
235.297959183;262.824489795;theme_02_01;tp,ts,p,b,dr
262.824489795;300.1991836734694;silence;
