segment_start;segment_end;label;instrument
0.0;0.52244898;silence;
0.52244898;171.363265306;theme_01_01;tp,ss,g,p,bcl,b,dr,perc
171.363265306;382.432653061;solo_01_01;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
382.432653061;543.346938776;solo_01_02;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
543.346938776;696.946938776;solo_01_03;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
696.946938776;882.93877551;solo_01_04;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
882.93877551;1041.763265306;solo_01_05;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
1041.763265306;1214.171428571;solo_01_06;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
1214.171428571;1440.914285714;solo_01_07;s_tp,s_ss,s_g,s_p,s_bcl,s_b,s_dr,s_perc
1440.914285714;1612.27755102;theme_02_01;tp,ss,g,p,bcl,b,dr,perc
1612.27755102;1620.4;silence;
