segment_start;segment_end;label;instrument
0.0;24.241632653;silence;
24.241632653;56.819229024;theme_01_01;p,b,dr
56.819229024;89.350385487;solo_01_01;s_tp,b_p,b_b,b_dr
89.350385487;121.626122448;solo_01_02;s_tp,b_p,b_b,b_dr
121.626122448;154.134058956;solo_01_03;s_tp,b_p,b_b,b_dr
154.134058956;186.502675736;solo_01_04;s_tp,b_p,b_b,b_dr
186.502675736;219.010612244;solo_02_01;s_ts,b_p,b_b,b_dr
219.010612244;251.634648526;solo_02_02;s_ts,b_p,b_b,b_dr
251.634648526;284.37478458;solo_02_03;s_ts,b_p,b_b,b_dr
284.37478458;317.486439909;solo_02_04;s_ts,b_p,b_b,b_dr
317.486439909;350.017596371;solo_03_01;s_p,b_b,b_dr
350.017596371;382.618412698;solo_03_02;s_p,b_b,b_dr
382.618412698;415.404988662;solo_04_01;s_b,b_p,b_dr
415.404988662;448.168344671;solo_04_02;s_b,b_p,b_dr
448.168344671;480.722721088;solo_04_03;s_b,b_p,b_dr
480.722721088;512.905578231;solo_05_01;s_dr,s_p,b_b
512.905578231;545.66893424;solo_05_02;s_dr,s_p,b_b
545.66893424;579.059229024;solo_05_03;s_dr,s_p,b_b
579.059229024;618.718911563;theme_02_01;p,b,dr
618.718911563;623.2666666666667;silence;
