region_start;region_end;label;instrument
0.0;0.510839002;silence;
0.510839002;29.117823129;theme_01_01;ts,tp,b,dr
29.117823129;58.653605442;solo_01_01;s_tp,b_b,b_dr
58.653605442;87.841088435;solo_01_02;s_tp,b_b,b_dr
87.841088435;115.93723356;solo_01_03;s_tp,b_b,b_dr
115.93723356;144.497777777;solo_02_01;s_ts,b_b,b_dr
144.497777777;173.38340136;solo_02_02;s_ts,b_b,b_dr
173.38340136;201.549206349;solo_02_03;s_ts,b_b,b_dr
201.549206349;229.204172335;solo_03_01;s_p,b_b,b_dr
229.204172335;256.441179138;solo_03_02;s_p,b_b,b_dr
256.441179138;284.02648526;solo_03_03;s_p,b_b,b_dr
284.02648526;312.07619047599997;solo_04_01;s_p,s_tp,s_ts,s_dr,b_b
312.07619047599997;339.847256235;theme_02_01;tp,ts,b,dr
339.847256235;367.82730158699997;theme_02_02;tp,ts,p,b,dr
367.82730158699997;378.25306122399996;outro;tp,b,dr
378.25306122399996;382.01469387755094;silence;
