region_start;region_end;label;instrument
0.0;0.783673469;silence;
0.783673469;14.759183673;theme_01_01;tp,ts,b,dr
14.759183672999999;28.604081632;theme_01_02;tp,ts,p,b,dr
28.604081632;43.23265306;solo_01_01;s_tp,b_b,b_dr
43.232653061;57.07755102;solo_01_02;s_tp,b_b,b_dr
57.07755102;71.183673468;solo_01_03;s_tp,b_b,b_dr
71.183673469;85.159183673;solo_01_04;s_tp,b_b,b_dr
85.159183673;99.265306121;solo_01_05;s_tp,b_b,b_dr
99.26530612200001;113.24081632600002;solo_01_06;s_tp,b_b,b_dr
113.240816326;127.21632653;solo_01_07;s_tp,b_b,b_dr
127.21632653;141.191836734;solo_01_08;s_tp,b_b,b_dr
141.191836734;155.297959182;solo_01_09;s_tp,b_b,b_dr
155.297959183;169.27346938699998;solo_02_01;s_ts,b_b,b_dr
169.273469387;183.77142857;solo_02_02;s_ts,b_b,b_dr
183.77142857099997;198.00816326399996;solo_02_03;s_ts,b_b,b_dr
198.008163265;213.812244897;solo_02_04;s_ts,b_b,b_dr
213.812244897;227.787755101;solo_02_05;s_ts,b_b,b_dr
227.787755102;241.371428571;solo_02_06;s_ts,b_b,b_dr
241.371428571;253.518367346;solo_02_07;s_ts,b_b,b_dr
253.518367346;265.926530611;solo_02_08;s_ts,b_b,b_dr
265.926530612;277.681632652;solo_03_01;s_p,b_b,b_dr
277.681632653;292.179591836;solo_03_02;s_p,b_b,b_dr
292.179591836;306.416326529;solo_03_03;s_p,b_b,b_dr
306.41632653;319.21632653;solo_03_04;s_p,b_b,b_dr
319.21632653;333.58367346800003;solo_03_05;s_p,b_b,b_dr
333.583673469;346.38367346900003;solo_03_06;s_p,b_b,b_dr
346.38367346900003;360.62040816200005;solo_03_07;s_p,b_b,b_dr
360.62040816300004;373.028571428;solo_03_08;s_p,b_b,b_dr
373.028571428;385.82857142800003;solo_03_09;s_p,b_b,b_dr
385.82857142800003;399.15102040700003;theme_02_01;tp,ts,b,dr
399.151020408;412.60408163200003;theme_02_02;tp,ts,b,dr
412.604081632;426.187755101;theme_02_03;tp,ts,b,dr
426.039727891;454.368072562;outro;b,dr
454.368072562;468.0;silence;
