segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;29.02494331;theme_01_01;tp,ts,p,b,dr
29.02494331;57.376507936;solo_01_01;s_tp,b_p,b_b,b_dr
57.376507936;85.960272108;solo_01_02;s_tp,b_p,b_b,b_dr
85.960272108;114.683356009;solo_02_01;s_ts,b_p,b_b,b_dr
114.683356009;143.66185941;solo_02_02;s_ts,b_p,b_b,b_dr
143.66185941;172.663582766;solo_02_03;s_ts,b_p,b_b,b_dr
172.663582766;201.734965986;solo_02_04;s_ts,b_p,b_b,b_dr
201.734965986;230.481269841;solo_03_01;s_p,b_b,b_dr
230.481269841;259.645532879;solo_03_02;s_p,b_b,b_dr
259.645532879;288.391836734;solo_04_01;s_tp,b_p,b_b,b_dr
288.391836734;317.022040816;solo_04_02;s_tp,b_p,b_b,b_dr
317.022040816;349.947936507;theme_02_01;tp,ts,p,b,dr
349.947936507;354.0933333333333;silence;
