region_start;region_end;label;instrument
0.0;0.261224489;silence;
0.261224489;27.885714285;theme_01_01;tp,ts,b,dr
27.885714285;55.902040816;solo_01_01;s_tp,b_b,b_dr
55.902040816;82.546938775;solo_01_02;s_tp,b_b,b_dr
82.546938775;109.12653061200001;solo_01_03;s_tp,s_ts,b_b,b_dr
109.12653061200001;135.510204081;solo_02_01;s_tp,s_ts,b_b,b_dr
135.510204081;163.2;solo_02_02;s_tp,s_ts,b_b,b_dr
163.2;189.58367346900002;solo_03_01;s_p,b_b,b_dr
189.58367346900002;216.032653061;solo_03_02;s_p,b_b,b_dr
216.032653061;243.657142857;solo_03_03;s_p,b_b,b_dr
243.657142857;274.15510204;theme_02_01;tp,ts
274.15510204;278.6;silence;
