segment_start;segment_end;label;instrument
0.0;0.30185941;silence;
0.30185941;34.040453514;intro;b,p
34.040453514;90.000544217;theme_01_01;b,p,dr
90.000544217;145.681995464;solo_01_01;s_tp,b_p,b_b,b_dr
145.681995464;201.224126984;solo_01_02;s_tp,b_p,b_b,b_dr
201.224126984;255.907120181;solo_02_01;s_as,b_p,b_b,b_dr
255.907120181;311.054512471;solo_02_02;s_as,b_p,b_b,b_dr
311.054512471;367.107482993;solo_02_03;s_as,b_p,b_b,b_dr
367.107482993;421.117097505;solo_02_04;s_as,b_p,b_b,b_dr
421.117097505;473.872834467;solo_03_01;s_p,b_tp,b_as,b_b,b_dr
473.872834467;541.535782312;theme_02_02;tp,as,p,b,dr
541.535782312;545.4133333333333;silence;
