region_start;region_end;label;instrument
0.0;0.139319727;silence;
0.139319727;3.482993197;intro;p
3.482993197;31.02185941;theme_01_01;tp,p,b,dr
31.02185941;58.142766439;solo_01_01;s_tp,b_p,b_b,b_dr
58.142766439;85.263673469;solo_01_02;s_tp,b_p,b_b,b_dr
85.263673469;113.12761904700001;solo_01_03;s_tp,b_p,b_b,b_dr
113.12761904700001;140.805804988;solo_01_04;s_tp,b_p,b_b,b_dr
140.805804988;168.85551020399998;solo_01_05;s_tp,b_p,b_b,b_dr
168.85551020399998;197.28979591799998;solo_01_06;s_tp,b_p,b_b,b_dr
197.28979591799998;228.37551020299998;theme_02_01;tp,p,b,dr
228.37551020299998;231.98666666666668;silence;
