segment_start;segment_end;label;instrument
0.0;0.928798185;silence;
0.928798185;26.563628116999997;theme_01_01;tp,ts,p,b,dr
26.563628116999997;51.826938775;solo_01_01;s_tp,b_p,b_b,b_dr
51.826938775;76.997369614;solo_01_02;s_tp,b_p,b_b,b_dr
76.997369614;101.889160997;solo_01_03;s_tp,b_p,b_b,b_dr
101.889160997;126.78095238;solo_01_04;s_tp,b_p,b_b,b_dr
126.78095238;151.858503401;solo_02_01;s_ts,b_p,b_b,b_dr
151.858503401;177.12181405799998;solo_02_02;s_ts,b_p,b_b,b_dr
177.12181405799998;202.478004535;solo_02_03;s_ts,b_p,b_b,b_dr
202.478004535;227.555555555;solo_02_04;s_ts,b_p,b_b,b_dr
227.555555555;252.540226757;solo_02_05;s_ts,b_p,b_b,b_dr
252.540226757;277.89641723299997;solo_02_06;s_ts,b_p,b_b,b_dr
277.89641723299997;302.695328798;solo_03_01;s_p,b_b,b_dr
302.695328798;327.772879818;solo_03_02;s_p,b_b,b_dr
327.772879818;352.571791383;solo_03_03;s_p,b_b,b_dr
352.571791383;377.370702947;solo_03_04;s_p,b_b,b_dr
377.370702947;409.228480724;theme_02_01;tp,ts,p,b,dr
409.228480724;414.40653061224486;silence;
