segment_start;segment_end;label;instrument
0.0;0.046439909;silence;
0.046439909;15.18585034;intro;tp,tb,ts,p,b,dr
15.18585034;60.000362811;theme_01_01;tp,tb,ts,p,b,dr
60.000362811;104.675555555;solo_01_01;s_tp,b_p,b_b,b_dr
104.675555555;149.582947845;solo_01_02;s_tp,b_p,b_b,b_dr
149.582947845;194.908299319;solo_01_03;s_tp,b_p,b_b,b_dr
194.908299319;239.908571428;solo_01_04;s_tp,b_p,b_b,b_dr
239.908571428;284.955283446;solo_02_01;s_tb,b_p,b_b,b_dr
284.955283446;329.816235827;solo_02_02;s_tb,b_p,b_b,b_dr
329.816235827;375.327346938;solo_02_03;s_tb,b_p,b_b,b_dr
375.327346938;420.559818594;solo_03_01;s_ts,b_p,b_b,b_dr
420.559818594;466.442448979;solo_03_02;s_ts,b_p,b_b,b_dr
466.442448979;512.0;solo_03_03;s_ts,b_p,b_b,b_dr
512.0;557.882630385;solo_03_04;s_ts,b_tp,b_p,b_b,b_dr
557.882630385;603.997460317;solo_03_05;s_ts,b_p,b_b,b_dr
603.997460317;649.787210884;solo_04_01;s_p,b_b,b_dr
649.787210884;695.855600907;solo_05_01;s_tp,b_p,b_b,b_dr
695.855600907;741.088072562;theme_02_01;tp,tb,ts,p,b,dr
741.088072562;788.549659863;theme_02_02;tp,tb,ts,p,b,dr
788.549659863;808.658140588;outro;tp,tb,ts,p,b,dr
808.658140588;811.1466666666666;silence;
