region_start;region_end;label;instrument
0.0;0.653061224;silence;
0.653061224;7.3142857139999995;intro;p,b,dr
7.3142857139999995;33.959183673000005;theme_01_01;tp,vib,p,b,dr
33.959183673000005;59.559183673;solo_01_01;s_tp,b_p,b_b,b_dr
59.559183673;85.17079365;solo_01_02;s_tp,b_p,b_b,b_dr
85.17079365;110.898503401;solo_01_03;s_tp,b_p,b_b,b_dr
110.898503401;136.71909297;solo_01_04;s_tp,b_p,b_b,b_dr
136.71909297;162.353922902;solo_01_05;s_tp,b_p,b_b,b_dr
162.353922902;186.595555555;solo_01_06;s_tp,b_p,b_b,b_dr
186.595555555;212.137505668;solo_01_07;s_tp,b_p,b_b,b_dr
212.137505668;237.586575963;solo_02_01;s_vib,b_p,b_b,b_dr
237.586575963;264.2430839;solo_02_02;s_vib,b_p,b_b,b_dr
264.2430839;289.692154195;solo_02_03;s_vib,b_p,b_b,b_dr
289.692154195;314.862585034;solo_02_04;s_vib,b_p,b_b,b_dr
314.862585034;340.033015873;solo_02_05;s_vib,b_p,b_b,b_dr
340.033015873;364.831927437;solo_03_01;s_p,b_b,b_dr
364.831927437;389.352199546;solo_03_02;s_p,b_b,b_dr
389.352199546;414.522630385;solo_03_03;s_p,b_b,b_dr
414.522630385;438.021224489;solo_03_04;s_p,b_b,b_dr
438.021224489;462.44861678;solo_04_01;s_tp,b_p,b_b,b_dr
462.44861678;486.040090702;solo_04_02;s_tp,s_vib,b_p,b_b,b_dr
486.040090702;511.86068027199997;solo_04_03;s_tp,s_vib,b_p,b_b,b_dr
511.86068027199997;538.052789115;solo_04_04;s_tp,s_vib,b_p,b_b,b_dr
538.052789115;566.845532879;theme_02_01;tp,vib,p,b,dr
566.845532879;569.8133333333334;silence;
