segment_start;segment_end;label;instrument
0.0;0.371519274;silence;
0.371519274;13.931972789;intro;vib,p,b,dr
13.931972789;67.802267573;theme_01_01;vib,p,b,dr
67.802267573;122.972879818;solo_01_01;s_vib,b_p,b_b,b_dr
122.972879818;178.143492063;solo_01_02;s_vib,b_p,b_b,b_dr
178.143492063;235.357460317;solo_01_03;s_vib,b_p,b_b,b_dr
235.357460317;292.385668934;solo_02_01;s_p,b_b,b_dr
292.385668934;349.228117913;solo_02_02;s_p,b_b,b_dr
349.228117913;406.999365079;solo_02_03;s_p,b_b,b_dr
406.999365079;470.71492063399995;theme_02_01;vib,p,b,dr
470.71492063399995;475.8933333333333;silence;
