segment_start;segment_end;label;instrument
0.0;0.457142857;silence;
0.457142857;2.41632653;intro;tp,as
2.41632653;41.534693876999995;theme_01_01;tp,as,b,dr
41.534693876999995;80.653061224;solo_01_01;s_tp,b_b,b_dr
80.653061224;119.629206349;solo_01_02;s_tp,b_b,b_dr
119.629206349;162.353922902;solo_01_03;s_tp,b_b,b_dr
162.353922902;204.89287981799998;solo_02_01;s_as,b_b,b_dr
204.89287981799998;247.246077097;solo_02_02;s_as,b_b,b_dr
247.246077097;288.113197278;solo_02_03;s_as,b_b,b_dr
288.113197278;325.82240362699997;theme_02_01;tp,as,b,dr
325.82240362699997;331.38938775510206;silence;
