segment_start;segment_end;label;instrument
0.0;0.557278911;silence;
0.557278911;29.535782312;theme_01_01;tp,as,b,dr
29.535782312;57.492607709;theme_01_02;tp,as,b,dr
57.492607709;90.743582766;solo_01_01;s_as,b_b,b_dr
90.743582766;124.366077097;solo_01_02;s_as,b_b,b_dr
124.366077097;157.152653061;solo_01_03;s_as,b_b,b_dr
157.152653061;190.032108843;solo_01_04;s_as,b_b,b_dr
190.032108843;223.004444444;solo_01_05;s_as,b_b,b_dr
223.004444444;256.162539682;solo_02_01;s_tp,b_b,b_dr
256.162539682;288.02031746;solo_02_02;s_tp,b_b,b_dr
288.02031746;320.899773242;solo_02_03;s_tp,b_b,b_dr
320.899773242;350.342675736;solo_02_04;s_tp,b_b,b_dr
350.342675736;379.692698412;theme_02_01;tp,as,b,dr
379.692698412;403.284172334;theme_02_02;tp,as,b,dr
403.284172334;408.39836734693876;silence;
