segment_start;segment_end;label;instrument
0.0;0.55510204;silence;
0.55510204;6.661224489;intro;g
6.661224489;32.653061224;theme_01_01;g,b,dr
32.653061224;60.995918367;solo_01_01;s_g,b_b,b_dr
60.995918367;88.163265306;solo_01_02;s_g,b_b,b_dr
88.163265306;115.591836734;solo_01_03;s_g,b_b,b_dr
115.591836734;143.020408163;solo_01_04;s_g,b_b,b_dr
143.020408163;170.187755102;solo_01_05;s_g,b_b,b_dr
170.187755102;198.008163265;solo_01_06;s_g,b_b,b_dr
198.008163265;225.175510204;solo_02_01;s_b,b_g,b_dr
225.175510204;252.604081632;solo_02_02;s_b,b_g,b_dr
252.604081632;281.730612244;solo_02_03;s_b,b_g,b_dr
281.730612244;311.379591836;solo_03_01;s_g,b_b,b_dr
311.379591836;337.240816326;solo_04_01;s_dr
337.240816326;364.408163265;solo_05_01;s_g,b_b,b_dr
364.408163265;391.314285714;solo_06_01;s_dr
391.314285714;418.481632653;solo_07_01;s_g,b_b,b_dr
418.481632653;445.823129251;solo_08_01;s_dr
445.823129251;472.200997732;theme_02_01;g,b,dr
472.200997732;497.464308389;outro;g,b,dr
497.464308389;506.51428571428573;silence;
