segment_start;segment_end;label;instrument
0.0;0.130612244;silence;
0.130612244;8.457142857;intro;g,b,dr
8.457142857;41.893877551;theme_01_01;as,g,b,dr
41.893877551;75.004081632;solo_01_01;s_as,b_g,b_b,b_dr
75.004081632;108.146938775;solo_01_02;s_as,b_g,b_b,b_dr
108.146938775;140.669387755;solo_02_01;s_g,b_b,b_dr
140.669387755;173.420408163;solo_02_02;s_g,b_b,b_dr
173.420408163;206.073469387;solo_03_01;s_g,b_b,b_dr
206.073469387;238.922448979;theme_02_01;as,g,b,dr
238.922448979;266.383673468;outro;g,ts,b,dr
266.383673468;272.9866666666667;silence;
