region_start;region_end;label;instrument
0.0;0.01632653;silence;
0.01632653;9.861224489;intro;g
9.861224489;50.971428571000004;theme_01_01;as,g,b,dr
50.971428571000004;91.314285714;solo_01_01;s_as,b_g,b_b,b_dr
91.314285714;130.74285714200002;solo_01_02;s_as,b_g,b_b,b_dr
130.74285714200002;170.008163265;solo_02_01;s_g,b_b,b_dr
170.008163265;208.685714285;solo_02_02;s_g,b_b,b_dr
208.685714285;247.90204081599998;theme_02_01;as,g,b,dr
247.90204081599998;278.56326530499996;outro;as,g,b,dr
278.56326530499996;286.48;silence;
