region_start;region_end;label;instrument
0.0;0.139319727;silence;
0.139319727;12.724535147000001;intro;g
12.724535147000001;64.412154195;theme_01_01;as,g,b,dr
64.412154195;115.58893424;solo_01_01;s_as,b_g,b_b,b_dr
115.58893424;166.394195011;solo_01_02;s_as,b_g,b_b,b_dr
166.394195011;216.735056689;solo_02_01;s_g,b_b,b_dr
216.735056689;266.750839002;solo_02_02;s_g,b_b,b_dr
266.750839002;317.138140589;theme_02_01;as,g,b,dr
317.138140589;334.599546484;outro;as,g,b,dr
334.599546484;341.8533333333333;silence;
