segment_start;segment_end;label;instrument
0.0;0.097959183;silence;
0.097959183;14.269387755;intro;g
14.269387755;68.669387755;theme_01_01;as,g,b,dr
68.669387755;123.004081632;solo_01_01;s_as,b_g,b_b,b_dr
123.004081632;176.914285714;solo_01_02;s_as,b_g,b_b,b_dr
176.914285714;230.497959183;solo_02_01;s_g,b_b,b_dr
230.497959183;283.918367346;solo_02_02;s_g,b_b,b_dr
283.918367346;338.514285714;theme_02_01;as,g,b,dr
338.514285714;369.56734693799996;outro;as,g,b,dr
369.56734693799996;387.6933333333333;silence;
