segment_start;segment_end;label;instrument
0.0;1.697959183;silence;
1.697959183;32.653061224;intro;bs,p,b,dr
32.653061224;94.824489795;theme_01_01;tp,bs,p,b,dr
94.824489795;158.171428571;solo_01_01;s_tp,b_p,b_b,b_dr
158.171428571;221.779591836;solo_01_02;s_tp,b_p,b_b,b_dr
221.779591836;282.644897959;solo_02_01;s_bs,b_p,b_b,b_dr
282.644897959;344.81632653;solo_02_02;s_bs,b_p,b_b,b_dr
344.81632653;403.330612244;solo_03_01;s_p,b_b,b_dr
403.330612244;464.718367346;solo_03_02;s_p,b_b,b_dr
464.718367346;481.436734693;intro;bs,p,b,dr
481.436734693;558.7591836720001;theme_02_01;tp,bs,p,b,dr
558.7591836720001;564.8266666666667;silence;
