segment_start;segment_end;label;instrument
0.0;1.114557823;silence;
1.114557823;20.43356009;intro;tp,bs,p,b,dr
20.43356009;70.217142857;theme_01_01;tp,bs,p,b,dr
70.217142857;119.489886621;solo_01_01;s_bs,b_p,b_b,b_dr
119.489886621;168.112471655;solo_01_02;s_bs,b_p,b_b,b_dr
168.112471655;216.595736961;solo_02_01;s_tp,b_b,b_dr
216.595736961;264.428843537;solo_02_01;s_tp,b_p,b_b,b_dr
264.428843537;311.936870748;solo_03_01;s_p,b_b,b_dr
311.936870748;359.909297052;solo_04_01;s_tp,s_bs,s_dr,b_p,b_b
359.909297052;408.160362811;theme_02_01;tp,bs,p,b,dr
408.160362811;434.63111111;outro;tp,bs,p,b,dr
434.63111111;438.26666666666665;silence;
