segment_start;segment_end;label;instrument
0.0;0.325079365;silence;
0.325079365;9.380861677999999;intro;p,b,dr
9.380861677999999;49.412063492;theme_01_01;as,p,b,dr
49.412063492;88.05006802700001;solo_01_01;s_as,b_p,b_b,b_dr
88.05006802700001;128.40634920600002;solo_01_02;s_as,b_p,b_b,b_dr
128.40634920600002;168.669750566;solo_01_03;s_as,b_p,b_b,b_dr
168.669750566;207.911473922;solo_02_01;s_p,b_b,b_dr
207.911473922;246.503038548;solo_02_02;s_p,b_b,b_dr
246.503038548;286.209160997;solo_03_01;s_as,s_dr,b_p,b_b
286.209160997;333.624308389;theme_02_01;as,p,b,dr
333.624308389;337.3466666666667;silence;
