region_start;region_end;label;instrument
0.0;0.232199546;silence;
0.232199546;8.057324262;intro;p,b,dr
8.057324263;39.845442176;theme_01_01;as,p,b,dr
39.845442176;71.444897958;solo_01_01;s_as,b_p,b_b,b_dr
71.444897959;102.922448979;solo_01_02;s_as,b_p,b_b,b_dr
102.922448979;134.530612244;solo_01_03;s_as,b_p,b_b,b_dr
134.530612244;166.399999999;solo_01_04;s_as,b_p,b_b,b_dr
166.4;197.74693877500002;solo_02_01;s_p,b_b,b_dr
197.746938775;229.485714285;solo_02_02;s_p,b_b,b_dr
229.485714285;261.35510204;solo_03_01;s_as,s_dr,b_p,b_b
261.35510204;297.92653061100003;theme_02_01;as,p,b,dr
297.92653061100003;303.0933333333333;silence;
