segment_start;segment_end;label;instrument
0.0;0.293877551;silence;
0.293877551;11.428571428;intro;tp,g,p,b,dr,band
11.428571428;27.771065759;theme_01_01;tp,g,p,b,dr
27.771065759;44.506122448;theme_01_02;tp,g,p,b,dr
44.506122448;61.159183673;solo_01_01;s_voc,b_g,b_p,b_b,b_dr,b_band
61.159183673;77.746938775;solo_01_02;s_voc,b_g,b_p,b_b,b_dr,b_band
77.746938775;93.87755102;solo_02_01;s_ts,b_g,b_p,b_b,b_dr,b_band
93.87755102;110.595918367;solo_02_02;s_ts,b_g,b_p,b_b,b_dr,b_band
110.595918367;127.444897959;solo_03_01;s_tp,b_g,b_p,b_b,b_dr,b_band
127.444897959;141.028571428;solo_03_02;s_tp,b_g,b_p,b_b,b_dr,b_band
141.028571428;143.57333333333332;silence;
