segment_start;segment_end;label;instrument
0.0;0.261224489;silence;
0.261224489;4.473469387;intro;tp
4.473469387;21.224489795;theme_01_01;tp,b,dr
21.224489795;37.87755102;theme_01_02;tp,b,dr
37.87755102;54.497959183;solo_01_01;s_tp,b_p,b_b,b_dr
54.497959183;70.791836734;solo_01_02;s_tp,b_p,b_b,b_dr
70.791836734;87.346938775;solo_02_01;s_ts,b_p,b_b,b_dr
87.346938775;103.771428571;solo_02_02;s_ts,b_p,b_b,b_dr
103.771428571;119.836734693;solo_03_01;s_tp,b_ts,b_as,b_p,b_b,b_dr,b_band
119.836734693;135.869387755;solo_03_02;s_tp,b_ts,b_as,b_p,b_b,b_dr,b_band
135.869387755;152.130612244;solo_03_03;s_tp,b_ts,b_as,b_p,b_b,b_dr,b_band
152.130612244;172.47346938599998;solo_03_04;s_tp,b_ts,b_as,b_p,b_b,b_dr,b_band
172.47346938599998;175.09333333333333;silence;
