segment_start;segment_end;label;instrument
0.0;0.278639455;silence;
0.278639455;7.883174603;intro;tp,ss,tb,p,b,dr
7.883174603;28.699863945;theme_01_01;ss,p,b,dr
28.699863945;49.446893424;solo_01_01;s_tb,b_p,b_b,b_dr
49.446893424;70.112653061;solo_01_02;s_tb,b_p,b_b,b_dr
70.112653061;89.872834467;solo_02_01;s_tp,b_p,b_b,b_dr
89.872834467;109.458866213;solo_02_02;s_tp,b_p,b_b,b_dr
109.458866213;130.101405895;solo_03_01;s_ss,b_p,b_b,b_dr
130.101405895;152.090702947;theme_02_01;ss,tp,tb,p,b,dr
152.090702947;154.42666666666668;silence;
