region_start;region_end;label;instrument
0.0;0.557278911;silence;
0.557278911;43.653514738;intro;b,dr
44.025034013;108.112108842;theme_01_01;ts,b,dr
108.11210884299999;172.38494330999998;solo_01_01;s_ts,b_p,b_b,b_dr
172.38494331;236.472018139;solo_02_01;s_p,b_b,b_dr
236.47201814;299.444535146;solo_03_01;s_dr
299.444535147;360.930975056;solo_03_02;s_dr
360.93097505599997;421.11709750399996;solo_03_03;s_dr
421.117097505;485.389931972;theme_02_01;ts,p,b,dr
485.38993197199994;552.263401359;solo_04_01;s_p,s_b,b_dr
552.26340136;615.050158729;solo_05_01;s_ts,s_dr,b_p,b_b
615.05015873;670.592290249;theme_03_01;ts,p,b,dr
670.592290249;672.9866666666667;silence;
