segment_start;segment_end;label;instrument
0.0;0.457142857;silence;
0.457142857;50.481632653;theme_01_01;ts,p,b,dr,cga
50.481632653;99.983673469;solo_01_01;s_ts,b_p,b_b,b_dr,b_cga
99.983673469;149.485714285;solo_01_02;s_ts,b_p,b_b,b_dr,b_cga
149.485714285;199.575510204;solo_02_01;s_p,b_b,b_dr,b_cga
199.575510204;247.118367346;solo_02_02;s_p,b_b,b_dr,b_cga
247.118367346;294.465306122;solo_02_03;s_p,b_b,b_dr,b_cga
294.465306122;341.224489795;solo_03_01;s_b,b_p,b_dr,b_cga
341.224489795;385.567346938;solo_03_02;s_b,b_p,b_dr,b_cga
385.567346938;436.440816326;solo_03_03;s_b,b_p,b_dr,b_cga
436.440816326;484.375510204;solo_03_04;s_b,b_p,b_dr,b_cga
484.375510204;533.224489795;solo_04_01;s_b,s_ts,b_p,b_dr,b_cga
533.224489795;582.073469387;theme_02_01;ts,p,b,dr,cga
582.073469387;622.95510204;outro;ts,p,b,dr,cga
622.95510204;627.8266666666667;silence;
