segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;18.4830839;intro;dr
18.4830839;55.4492517;theme_01_01;ts,p,b,dr
55.4492517;92.415419501;solo_01_01;s_ts,b_p,b_b,b_dr
92.415419501;130.496145124;solo_01_02;s_ts,b_p,b_b,b_dr
130.496145124;167.369433106;solo_01_03;s_ts,b_p,b_b,b_dr
167.369433106;202.292244897;solo_02_01;s_dr
202.292244897;233.128344671;solo_02_02;s_dr
233.128344671;268.608435374;solo_03_01;s_ts,b_p,b_b,b_dr
268.608435374;302.788208616;solo_03_02;s_ts,b_p,b_b,b_dr
302.788208616;336.87510204;solo_04_01;s_p,b_b,b_dr
336.87510204;369.197278911;solo_04_02;s_p,b_b,b_dr
369.197278911;403.098412697;theme_02_01;ts,p,b,dr
403.098412697;405.8933333333333;silence;
