segment_start;segment_end;label;instrument
0.0;0.293877551;silence;
0.293877551;16.848979591;theme_01_01;ts1,ts2,p,b,b,dr
16.848979591;32.865306122;solo_01_01;s_ts1,b_p,b_b,b_dr
32.865306122;49.044897959;solo_01_02;s_ts1,b_p,b_b,b_dr
49.044897959;65.485714285;solo_01_03;s_ts1,b_p,b_b,b_dr
65.485714285;82.008163265;solo_01_04;s_ts1,b_p,b_b,b_dr
82.008163265;98.514285714;solo_01_05;s_ts1,b_p,b_b,b_dr
98.514285714;114.987755102;solo_01_06;s_ts1,b_p,b_b,b_dr
114.987755102;131.608163265;solo_01_07;s_ts1,b_p,b_b,b_dr
131.608163265;147.885714285;solo_02_01;s_ts2,b_p,b_b,b_dr
147.885714285;164.27755102;solo_02_02;s_ts2,b_p,b_b,b_dr
164.27755102;180.865306122;solo_02_03;s_ts2,b_p,b_b,b_dr
180.865306122;197.322448979;solo_02_04;s_ts2,b_p,b_b,b_dr
197.322448979;213.746938775;solo_02_05;s_ts2,b_p,b_b,b_dr
213.746938775;230.13877551;solo_02_06;s_ts2,b_p,b_b,b_dr
230.13877551;246.334693877;solo_02_07;s_ts2,b_p,b_b,b_dr
246.334693877;262.759183673;solo_02_08;s_ts2,b_p,b_b,b_dr
262.759183673;279.493877551;solo_03_01;s_p,b_b,b_dr
279.493877551;295.983673469;solo_03_02;s_p,b_b,b_dr
295.983673469;312.440816326;solo_03_03;s_p,b_b,b_dr
312.440816326;328.81632653;solo_03_04;s_p,b_b,b_dr
328.81632653;345.371428571;solo_03_05;s_p,b_b,b_dr
345.371428571;361.893877551;solo_04_01;s_b,b_p,b_dr
361.893877551;378.285714285;solo_04_02;s_b,b_p,b_dr
378.285714285;394.906122448;solo_05_01;s_ts,s_dr,b_p,b_b
394.906122448;411.346938775;solo_05_02;s_ts,s_dr,b_p,b_b
411.346938775;427.820408163;solo_05_03;s_ts,s_dr,b_p,b_b
427.820408163;444.114285714;solo_05_04;s_ts,s_dr,b_p,b_b
444.114285714;460.832653061;solo_06_01;s_ts1,b_p,b_b,b_dr
460.832653061;477.453061224;solo_06_02;s_ts1,b_p,b_b,b_dr
477.453061224;494.073469387;solo_06_03;s_ts1,b_p,b_b,b_dr
494.073469387;510.644897959;solo_06_04;s_ts2,b_p,b_b,b_dr
510.644897959;526.579591836;solo_06_05;s_ts1,s_ts2,b_p,b_b,b_dr
526.579591836;543.314285714;solo_06_06;s_ts1,s_ts2,b_p,b_b,b_dr
543.314285714;560.702040816;solo_06_07;s_ts1,s_ts2,b_p,b_b,b_dr
560.702040816;577.371428571;solo_06_08;s_ts1,s_ts2,b_p,b_b,b_dr
577.371428571;593.975510204;solo_06_09;s_ts1,s_ts2,b_p,b_b,b_dr
593.975510204;610.857142857;solo_06_10;s_ts1,s_ts2,b_p,b_b,b_dr
610.857142857;627.493877551;solo_06_11;s_ts1,s_ts2,b_p,b_b,b_dr
627.493877551;644.228571428;solo_06_12;s_ts1,s_ts2,b_p,b_b,b_dr
644.228571428;660.767346938;solo_06_13;s_ts1,s_ts2,b_p,b_b,b_dr
660.767346938;677.632653061;solo_06_14;s_ts1,s_ts2,b_p,b_b,b_dr
677.632653061;694.383673469;solo_06_15;s_ts1,s_ts2,b_p,b_b,b_dr
694.383673469;710.67755102;solo_06_16;s_ts1,s_ts2,b_p,b_b,b_dr
710.67755102;724.636734693;theme_02_01;ts1,ts2,p,b,dr
724.636734693;733.37142857;outro;ts1,ts2,p,b,dr
733.37142857;735.36;silence;
