segment_start;segment_end;label;instrument
0.0;0.130612244;silence;
0.130612244;5.224489795;intro;p
5.224489795;21.028571428;theme_01_01;tp,as,p,b,dr
21.028571428;35.853061224;solo_01_01;s_as,b_p,b_b,b_dr
35.853061224;51.591836734;solo_01_02;s_as,b_p,b_b,b_dr
51.591836734;66.742857142;solo_02_01;s_p,b_b,b_dr
66.742857142;82.024489795;solo_02_02;s_p,b_b,b_dr
82.024489795;96.718367346;solo_03_01;s_tp,b_p,b_b,b_dr
96.718367346;112.587755102;solo_03_02;s_tp,b_p,b_b,b_dr
112.587755102;127.73877551;solo_04_01;s_b,b_p,b_dr
127.73877551;144.130612244;solo_05_01;s_as,b_p,b_b,b_dr
144.130612244;159.93469387599998;theme_02_01;tp,as,p,b,dr
159.93469387599998;163.84;silence;
