segment_start;segment_end;label;instrument
0.0;0.065306122;silence;
0.065306122;6.367346938;intro;dr
6.367346938;30.171428571;theme_01_01;tb,p,b,dr
30.171428571;55.085714285;solo_01_01;s_tb,b_p,b_b,b_dr
55.085714285;80.391836734;solo_02_01;s_ts,b_p,b_b,b_dr
80.391836734;104.848979591;solo_02_01;s_ts,b_p,b_b,b_dr
104.848979591;129.828571428;solo_03_01;s_ts,s_tb,s_p,b_b,b_dr
129.828571428;154.057142857;solo_03_02;s_tb,s_ts,s_dr,b_b,b_p
154.057142857;180.375510203;theme_02_01;ts,tb,p,b,dr
180.375510203;183.42666666666668;silence;
