region_start;region_end;label;instrument
0.0;2.229115646;silence;
2.229115646;67.244988661;theme_01_01;ts,tb,p,g,b,dr
67.244988662;131.146303854;solo_01_01;s_tb,b_ts,b_g,b_p,b_b,b_dr
131.146303854;197.27673469299998;solo_01_02;s_tb,b_ts,b_g,b_p,b_b,b_dr
197.27673469299998;262.66412698299996;solo_02_01;s_ts,b_tb,b_g,b_p,b_b,b_dr
262.664126984;328.051519274;solo_02_01;s_ts,b_tb,b_g,b_p,b_b,b_dr
328.05151927400004;394.92498866100004;solo_02_03;s_ts,b_tb,b_g,b_p,b_b,b_dr
394.924988662;441.36489795899996;solo_03_01;s_ts,s_tb,b_g,b_p,b_b,b_dr
441.364897959;488.17632653000004;theme_02_01;ts,tb,g,p,b,dr
488.17632653000004;493.0;silence;
