segment_start;segment_end;label;instrument
0.0;0.046439909;silence;
0.046439909;10.727619047;solo_01_01;s_as,b_b,b_dr
10.727619047;21.223038548;solo_01_02;s_as,b_b,b_dr
21.223038548;33.436734693;solo_01_03;s_as,b_b,b_dr
33.436734693;46.393469387;solo_01_04;s_as,b_b,b_dr
46.393469387;61.579319727;theme_01_01;as,g,p,b,dr,perc
61.579319727;75.882811791;solo_02_01;s_ts,b_g,b_p,b_b,b_dr,b_perc
75.882811791;91.254421768;theme_02_01;as,g,p,b,dr,perc
91.254421768;105.65079365;solo_03_01;s_p,b_g,b_b,b_dr,b_perc
105.65079365;120.511564625;theme_03_01;as,g,p,b,dr,perc
120.511564625;135.233015873;solo_04_01;s_g,b_p,b_b,b_dr,b_perc
135.233015873;150.093786848;theme_04_01;as,g,p,b,dr,perc
150.093786848;165.186757369;solo_05_01;s_dr,s_perc,b_g,b_p,b_b
165.186757369;179.768888888;solo_06_01;s_ts,b_g,b_p,b_b,b_dr,b_perc
179.768888888;187.617233559;theme_05_01;as,g,p,b,dr,perc
187.617233559;188.56;silence;
