segment_start;segment_end;label;instrument
0.0;0.163265306;silence;
0.163265306;18.15510204;intro;g,p,b,dr
18.15510204;54.595918366999996;theme_02_01;tp,ts,as,g,p,b,dr
54.595918366999996;90.808163265;solo_01_01;s_ts,b_g,b_p,b_b,b_dr
90.808163265;127.869387755;solo_01_02;s_ts,b_g,b_p,b_b,b_dr
127.869387755;163.983673469;solo_02_01;s_as,b_g,b_p,b_b,b_dr
163.983673469;200.489795918;solo_02_02;s_as,b_g,b_p,b_b,b_dr
200.489795918;236.702040816;solo_02_03;s_as,b_g,b_p,b_b,b_dr
236.702040816;272.979591836;solo_03_01;s_tp,b_g,b_p,b_b,b_dr
272.979591836;309.159183673;solo_03_02;s_tp,b_g,b_p,b_b,b_dr
309.159183673;345.567346938;solo_03_01;s_b,b_g,b_p,b_dr
345.567346938;382.204081632;solo_04_01;s_tp,s_ts,s_as,b_g,b_p,b_b,b_dr
382.204081632;418.808163265;theme_02_02;tp,ts,as,g,p,b,dr
418.808163265;482.48163265200003;theme_02_03;tp,ts,as,g,p,b,dr
482.48163265200003;489.2473469387755;silence;
