segment_start;segment_end;label;instrument
0.0;1.175510204;silence;
1.175510204;12.669387755;intro;p,b
12.669387755;57.991836734;theme_01_01;ss,p,b,dr
57.991836734;104.097959183;solo_01_01;s_ss,b_p,b_b,b_dr
104.097959183;150.204081632;solo_01_02;s_ss,b_p,b_b,b_dr
150.204081632;196.571428571;solo_01_03;s_ss,b_p,b_b,b_dr
196.571428571;242.93877551;solo_01_04;s_ss,b_p,b_b,b_dr
242.93877551;288.0;solo_02_01;s_p,b_b,b_dr
288.0;332.146938775;solo_02_02;s_p,b_b,b_dr
332.146938775;374.334693877;solo_03_01;s_b,b_p,b_dr
374.334693877;415.869387755;solo_04_01;s_ss,b_p,b_b,b_dr
415.869387755;458.579591836;solo_04_02;s_ss,b_p,b_b,b_dr
458.579591836;502.857142856;theme_02_01;ss,p,b,dr
502.857142856;506.8666666666667;silence;
