region_start;region_end;label;instrument
0.0;1.175510204;silence;
1.175510204;2.448979591;intro;b
2.448979591;49.226303853999994;theme_01_01;ss,p,b,dr
49.226303853999994;95.29469387700001;solo_01_01;s_ss,b_p,b_b,b_dr
95.29469387700001;141.714285714;solo_01_02;s_ss,b_p,b_b,b_dr
141.714285714;188.01632653;solo_02_01;s_p,b_b,b_dr
188.01632653;231.21632653;solo_02_02;s_p,b_b,b_dr
231.21632653;273.17551020400003;solo_03_01;s_dr,s_b,b_p
273.17551020400003;323.787755101;theme_02_01;ss,p,b,dr
323.787755101;326.6;silence;
