segment_start;segment_end;label;instrument
0.0;1.486077097;silence;
1.486077097;13.281814058;intro;b,p,dr
13.281814058;47.182947845;theme_01_01;ts,p,b,dr
47.182947845;80.898321995;theme_01_02;ts,p,b,dr
80.898321995;114.149297052;solo_01_01;s_ts,b_p,b_b,b_dr
114.149297052;147.493151927;solo_01_02;s_ts,b_p,b_b,b_dr
147.493151927;181.022766439;solo_01_03;s_ts,b_p,b_b,b_dr
181.022766439;217.153015873;solo_01_04;s_ts,b_p,b_b,b_dr
217.153015873;253.097505668;solo_02_01;s_p,b_b,b_dr
253.097505668;289.97079365;solo_02_02;s_p,b_b,b_dr
289.97079365;323.593287981;theme_02_01;ts,p,b,dr
323.593287981;356.751383219;theme_02_02;ts,p,b,dr
356.751383219;405.141768706;outro;ts,p,b,dr
405.141768706;412.58666666666664;silence;
