segment_start;segment_end;label;instrument
0.0;0.522448979;silence;
0.522448979;10.710204081;intro;p,b,dr
10.710204081;42.840816326;theme_01_01;ts,p,b,dr
42.840816326;75.232653061;theme_01_02;ts,p,b,dr
75.232653061;107.102040816;solo_01_01;s_ts,b_p,b_b,b_dr
107.102040816;138.971428571;solo_01_02;s_ts,b_p,b_b,b_dr
138.971428571;170.579591836;solo_01_03;s_ts,b_p,b_b,b_dr
170.579591836;202.187755102;solo_01_04;s_ts,b_p,b_b,b_dr
202.187755102;234.318367346;solo_02_01;s_p,b_b,b_dr
234.318367346;266.448979591;solo_02_02;s_p,b_b,b_dr
266.448979591;295.706122448;solo_02_03;s_p,b_b,b_dr
295.706122448;328.359183673;solo_03_01;s_b,b_p,b_dr
328.359183673;361.273469387;solo_03_02;s_b,b_p,b_dr
361.273469387;393.926530612;theme_02_01;ts,p,b,dr
393.926530612;426.579591836;theme_02_02;ts,p,b,dr
426.579591836;444.865306121;outro;ts,p,b,dr
444.865306121;451.8933333333333;silence;
