segment_start;segment_end;label;instrument
0.0;1.253877551;silence;
1.253877551;9.148662131;intro;p,b,dr
9.148662131;34.783492063000004;theme_01_01;ts,p,b,dr
34.783492063000004;60.186122448;theme_01_02;ts,p,b,dr
60.186122448;86.146031746;solo_01_01;s_p,b_b,b_dr
86.146031746;109.969705215;solo_01_02;s_p,b_b,b_dr
109.969705215;134.582857142;solo_01_03;s_p,b_b,b_dr
134.582857142;159.103129251;solo_01_04;s_p,b_b,b_dr
159.103129251;184.505759637;solo_02_01;s_ts,b_p,b_b,b_dr
184.505759637;211.99818594099997;solo_02_02;s_ts,b_p,b_b,b_dr
211.99818594099997;241.301768707;solo_02_03;s_ts,b_p,b_b,b_dr
241.301768707;267.633197278;solo_02_04;s_ts,b_p,b_b,b_dr
267.633197278;296.704580498;solo_02_05;s_ts,b_p,b_b,b_dr
296.704580498;326.704761904;solo_02_06;s_ts,b_p,b_b,b_dr
326.704761904;353.964988662;solo_03_01;s_dr
353.964988662;378.810340136;solo_03_02;s_dr
378.810340136;402.91265306099996;theme_02_01;ts,p,b,dr
402.91265306099996;425.157369614;theme_02_02;ts,p,b,dr
425.157369614;446.937687074;solo_04_01;s_ts,b_p,b_b,b_dr
446.937687074;466.581768707;solo_04_02;s_ts,b_p,b_b,b_dr
466.581768707;505.451972788;outro;ts,p,b,dr
505.451972788;515.9009523809524;silence;
