region_start;region_end;label;instrument
0.0;0.046439909;silence;
0.046439909;63.808435374;theme_01_01;tp,ts,p,b,dr
63.808435374;125.945034013;solo_01_01;s_tp,b_p,b_b,b_dr
125.945034013;182.462403628;solo_01_02;s_tp,b_p,b_b,b_dr
182.462403628;241.90548752799998;solo_01_03;s_tp,b_p,b_b,b_dr
241.90548752799998;299.816054421;solo_02_01;s_ts,b_p,b_b,b_dr
299.816054421;357.54086167800006;solo_02_02;s_ts,b_p,b_b,b_dr
357.54086167800006;416.93750566800003;solo_03_01;s_p,b_b,b_dr
416.93750566800003;476.009070294;solo_03_02;s_p,b_b,b_dr
476.009070294;533.9660770969999;solo_04_01;s_b,b_p,b_dr
533.9660770969999;590.111927437;solo_04_02;s_b,b_p,b_dr
590.111927437;658.146394557;theme_02_01;tp,ts,p,b,dr
658.146394557;676.363514739229;silence;
