region_start;region_end;label;instrument
0.0;0.325079365;silence;
0.325079365;21.292698412;theme_01_01;tp,ts,p,b,dr
21.292698412;41.726258502;theme_01_02;tp,ts,p,b,dr
41.726258503000004;61.34712018100001;solo_01_01;s_tp,b_p,b_b,b_dr
61.347120181;80.596462584;solo_01_02;s_tp,b_p,b_b,b_dr
80.596462585;99.683265306;solo_01_03;s_tp,b_p,b_b,b_dr
99.68326530600001;118.607528344;solo_02_01;s_ts,b_p,b_b,b_dr
118.607528344;137.137052153;solo_02_0;s_ts,b_p,b_b,b_dr
137.160272108;155.62013605299998;solo_03_01;s_p,b_b,b_dr
155.620136054;173.847800453;solo_03_02;s_p,b_b,b_dr
173.871020408;191.796825396;solo_04_01;s_b
191.79682539599997;209.88517006699996;solo_04_02;s_b
209.88517006799998;225.93015873;solo_04_03;s_b
225.93015873;243.78630385399998;solo_05_01;s_tp,s_dr,b_p,b_b
243.786303854;261.108390021;solo_05_02;s_ts,s_dr,b_p,b_b
261.108390022;280.055873015;theme_02_01;tp,ts,p,b,dr
280.055873015;309.59165532699996;theme_02_02;tp,ts,p,b,dr
309.59165532699996;312.93333333333334;silence;
