,filename_solo,filename_track,melid,query_end,query_start,recordid,trackid
0,ArtPepper_Anthropology_Solo,ArtPepper_Anthropology_Orig,1,201,51,1,1
1,ArtPepper_BluesForBlanche_Solo,ArtPepper_BluesForBlanche_Orig,2,203,43,2,2
2,ArtPepper_Desafinado_Solo,ArtPepper_Desafinado_Orig,3,233,122,1,3
3,ArtPepper_InAMellowTone_Solo,ArtPepper_InAMellowTone_Orig,4,243,60,1,4
4,ArtPepper_Stardust-1_Solo,ArtPepper_Stardust_Orig,5,272,15,2,5
5,ArtPepper_Stardust-2_Solo,ArtPepper_Stardust_Orig,6,621,331,2,5
6,BennyCarter_IGotItBad_Solo,BennyCarter_IGotItBad_Orig,7,172,0,3,6
7,BennyCarter_It'sAWonderfulWorld-1_Solo,BennyCarter_It'sAWonderfulWorld_Orig,8,134,39,4,7
8,BennyCarter_It'sAWonderfulWorld-2_Solo,BennyCarter_It'sAWonderfulWorld_Orig,9,286,224,4,7
9,BennyCarter_JustFriends_Solo,BennyCarter_JustFriends_Orig,10,237,123,4,8
10,BennyCarter_LongAgoAndFarAway-1_Solo,BennyCarter_LongAgoAndFarAway_Orig,11,94,50,3,9
11,BennyCarter_LongAgoAndFarAway-2_Solo,BennyCarter_LongAgoAndFarAway_Orig,12,182,133,3,9
12,BennyCarter_SweetLorraine_Solo,BennyCarter_SweetLorraine_Orig,13,180,94,4,10
13,BennyGoodman_Avalon_Solo,BennyGoodman_Avalon_Orig,14,100,67,5,11
14,LionelHampton_Avalon_Solo,BennyGoodman_Avalon_Orig,285,130,99,5,11
15,BennyGoodman_HandfulOfKeys_Solo,BennyGoodman_HandfulOfKeys_Orig,15,126,113,6,12
16,BennyGoodman_Nobody'sSweetheart_Solo,BennyGoodman_Nobody'sSweetheart_Orig,16,94,64,5,13
17,BennyGoodman_Runnin'Wild_Solo,BennyGoodman_Runnin'Wild_Orig,17,99,71,5,14
18,LionelHampton_Runnin'Wild_Solo,BennyGoodman_Runnin'Wild_Orig,289,-1,-1,5,14
19,BennyGoodman_TigerRag-1_Solo,BennyGoodman_TigerRag_Orig,18,56,6,7,15
20,BennyGoodman_TigerRag-2_Solo,BennyGoodman_TigerRag_Orig,19,56,6,7,15
21,BennyGoodman_Whispering_Solo,BennyGoodman_Whispering_Orig,20,84,43,5,16
22,LionelHampton_Whispering_Solo,BennyGoodman_Whispering_Orig,290,-1,-1,5,16
23,BenWebster_ByeByeBlackbird_Solo,BenWebster_ByeByeBlackbird_Orig,21,341,178,8,17
24,BenWebster_DidYouCallHerToday_Solo,BenWebster_DidYouCallHerToday_Orig,22,342,212,8,18
25,HarryEdison_DidYouCallHerToday_Solo,BenWebster_DidYouCallHerToday_Orig,182,211,78,8,18
26,BenWebster_MyIdeal_Solo,BenWebster_MyIdeal_Orig,23,215,61,8,19
27,BenWebster_NightAndDay_Solo,BenWebster_NightAndDay_Orig,24,197,70,8,20
28,BenWebster_WhereOrWhen_Solo,BenWebster_WhereOrWhen_Orig,25,260,142,8,21
29,BixBeiderbecke_I'mComingVirginia_Solo,BixBeiderbecke_I'mComingVirginia_Orig,26,179,88,9,22
30,BixBeiderbecke_Margie_Solo,BixBeiderbecke_Margie_Orig,27,130,108,10,23
31,BixBeiderbecke_RiverboatShuffle_Solo,BixBeiderbecke_RiverboatShuffle_Orig,28,93,56,10,24
32,BixBeiderbecke_RoyalGardenBlues_Solo,BixBeiderbecke_RoyalGardenBlues_Orig,29,-1,-1,10,25
33,BixBeiderbecke_SinginTheBlues_Solo,BixBeiderbecke_SinginTheBlues_Orig,30,122,62,9,26
34,BobBerg_Angles_Solo,BobBerg_Angles_Orig,31,278,151,11,27
35,BobBerg_BluesForBela_Solo,BobBerg_BluesForBela_Orig,32,247,154,11,28
36,BobBerg_IDidn'tKnowWhatTimeItWas_Solo,BobBerg_ IDidn'tKnowWhatTimeItWas_Orig,33,548,343,12,29
37,BobBerg_NatureOfTheBeast_Solo,BobBerg_NatureOfTheBeast_Orig,34,291,94,13,30
38,BobBerg_NoMoe_Solo,BobBerg_NoMoe_Orig,35,187,48,13,31
39,BobBerg_SecondSight_Solo,Bob Berg_SecondSightEnterTheSpirit_Orig,36,176,98,11,32
40,BobBerg_YouAndTheNightAndTheMusic_Solo,BobBerg_YouAndTheNightAndTheMusic_Orig,37,165,70,14,33
41,BranfordMarsalis_GutbucketSteepy_Solo,BranfordMarsalis_GutbucketSteepy_Orig,38,-1,-1,15,34
